"","V1","V2","V3"
"1525","3510","Hypothetical protein 384D8_7 gene extracted from Chromosome 22q13 BAC Clone CIT987SK-384D8 complete sequence","U62317_rna7_at"
"1526","3514","CHRNA4 Cholinergic receptor, nicotinic, alpha polypeptide 4","U62433_at"
"1527","3521","Int-6 mRNA","U62962_at"
"1528","3531","SUR Sulfonylurea receptor (hyperinsulinemia)","U63455_at"
"1529","3532","GB DEF = mRNA expressed in HC/HCC livers and MolT-4 proliferating cells, partial sequence","U63541_at"
"1530","3535","Mitotic centromere-associated kinesin mRNA","U63743_at"
"1531","3537","Hepatitis delta antigen interacting protein A (dipA) mRNA","U63825_at"
"1532","3538","GB DEF = Neurogenic basic-helix-loop-helix protein (neuroD3) gene","U63842_at"
"1533","3539","Guanine nucleotide exchange factor p115-RhoGEF mRNA, partial cds","U64105_at"
"1534","3544","SRI Sorcin","U64675_at"
"1535","3547","GB DEF = Ribonuclease k6 precursor gene","U64998_at"
"1536","3551","Msg1-related gene 1 (mrg1) mRNA","U65093_at"
"1537","3552","GB DEF = Seven transmembrane G-coupled receptor (GPR31) gene","U65402_at"
"1538","3557","Mitochondrial NADH dehydrogenase-ubiquinone Fe-S protein 8, 23 kDa subunit precursor (NDUFS8) nuclear mRNA encoding mitochondrial protein","U65579_at"
"1539","3558","Ribosomal protein L3-like mRNA","U65581_at"
"1540","3559","HPS Hermansky-Pudlak syndrome protein","U65676_at"
"1541","3560","150 kDa oxygen-regulated protein ORP150 mRNA","U65785_at"
"1542","3561","JUN V-jun avian sarcoma virus 17 oncogene homolog","U65928_at"
"1543","3562","Extracellular matrix protein 1 (ECM1) mRNA","U65932_at"
"1544","3565","Clone 161455 breast expressed mRNA from chromosome X","U66048_at"
"1545","3567","TCRBV1S1A1N1 gene extracted from Human germline T-cell receptor beta chain Dopamine-beta-hydroxylase-like, TRY1, TRY2, TRY3, TCRBV27S1P, TCRBV22S1A2N1T, TCRBV9S1A1T, TCRBV7S1A1N2T, TCRBV5S1A1T, TCRBV13S3, TCRBV6S7P, TCRBV7S3A2T, TCRBV13S2A1T, TCRBV9S2A2PT, TCRBV7S2A1N4T, TCRBV13S9/13S2A1T, TCRBV6S5A1N1, TCRBV30S1P, TCRBV31S1, TCRBV13S5, TCRBV6S1A1N1, TCRBV32S1P, TCRBV5S5P, TCRBV1S1A1N1, TCRBV12S2A1T, TCRBV21S1, TCRBV8S4P, TCRBV12S3, TCRBV21S3A2N2T, TCRBV8S5P, TCRBV13S1 genes from bases 1 to 267156 (section 1 of 3)","U66059_cds7_at"
"1546","3573","EPLG8 Eph-related receptor tyrosine kinase ligand 8)","U66406_at"
"1547","3574","Hematopoietic progenitor kinase (HPK1) mRNA","U66464_at"
"1548","3575","Cell growth regulator CGR11 mRNA","U66468_at"
"1549","3578","NPM1 Nucleophosmin (nucleolar phosphoprotein B23, numatrin)","U66559_at"
"1550","3583","SWI/SNF complex 155 KDa subunit (BAF155) mRNA","U66615_at"
"1551","3584","SWI/SNF complex 170 KDa subunit (BAF170) mRNA","U66616_at"
"1552","3586","SWI/SNF complex 60 KDa subunit (BAF60b) mRNA","U66618_at"
"1553","3591","Cyclin A1 mRNA","U66838_at"
"1554","3594","GB DEF = Selenoprotein W (selW) mRNA","U67171_at"
"1555","3600","SLC15A2 Solute carrier family 15 (H+/peptide transporter), member 2","U67674_at"
"1556","3605","Lysophospholipase homolog (HU-K5) mRNA","U67963_at"
"1557","3607","Mad protein homolog (hMAD-2) mRNA","U68018_at"
"1558","3608","Mad protein homolog (hMAD-3) mRNA","U68019_at"
"1559","3611","Putative splice factor transformer2-beta mRNA","U68063_at"
"1560","3614","RalGDS-like 2 (RGL2) mRNA, partial cds","U68142_at"
"1561","3615","Farnesol receptor HRR-1 (HRR-1) mRNA","U68233_at"
"1562","3617","Amphiphysin II mRNA","U68485_at"
"1563","3619","Hbc647 mRNA sequence","U68494_at"
"1564","3621","HS1 binding protein HAX-1 mRNA, nuclear gene encoding mitochondrial protein","U68566_at"
"1565","3622","NADH:ubiquinone oxidoreductase subunit B13 (B13) mRNA","U68723_at"
"1566","3626","GCDH Glutaryl-Coenzyme A dehydrogenase","U69141_at"
"1567","3628","RNA binding protein Etr-3 mRNA","U69546_at"
"1568","3629","Zinc finger protein mRNA","U69645_at"
"1569","3631","Acid ceramidase mRNA","U70063_at"
"1570","3633","Herpesvirus entry mediator mRNA","U70321_at"
"1571","3634","Transportin (TRN) mRNA","U70322_at"
"1572","3635","SCA2 Spinocerebellar ataxia 2 (olivopontocerebellar ataxia 2, autosomal dominant)","U70323_at"
"1573","3637","A28-RGS14p mRNA","U70426_at"
"1574","3638","Myleoid differentiation primary response protein MyD88 mRNA","U70451_at"
"1575","3639","Copper transport protein HAH1 (HAH1) mRNA","U70660_at"
"1576","3640","Zinc finger transcription factor hEZF (EZF) mRNA","U70663_at"
"1577","3641","Ataxin-2 related protein mRNA, partial cds","U70671_at"
"1578","3642","Glutamate pyruvate transaminase (GPT) gene","U70732_rna1_at"
"1579","3643","GB DEF = 34 kDa mov34 isologue mRNA","U70735_at"
"1580","3645","Prostaglandin transporter hPGT mRNA","U70867_at"
"1581","3649","MAP kinase kinase MEK5c mRNA","U71088_at"
"1582","3653","Cytoplasmic antiproteinase 3 (CAP3) mRNA","U71364_at"
"1583","3655","Zinc finger protein zfp2 (zf2) mRNA, partial cds","U71598_at"
"1584","3658","Guanine nucleotide regulatory factor (LFP40) mRNA","U72206_at"
"1585","3660","PLATELET-ACTIVATING FACTOR ACETYLHYDROLASE 45 KD SUBUNIT","U72342_at"
"1586","3661","40871 mRNA partial sequence","U72507_at"
"1587","3662","B7 mRNA","U72508_at"
"1588","3663","B-cell receptor associated protein (hBAP) mRNA, partial cds","U72511_at"
"1589","3666","C3f mRNA","U72515_at"
"1590","3667","GB DEF = Alternatively spliced variant C7f (C3f) mRNA, partial 3'UTR","U72517_at"
"1591","3668","LOT1 mRNA","U72621_at"
"1592","3669","Ninjurin1 mRNA","U72661_at"
"1593","3671","GB DEF = Karyopherin beta 3 mRNA","U72761_at"
"1594","3674","SM15 gene (human interferon-related protein SM15 (U09585); final exon similar to partial sequence of human EST R48415, but would require alternative splice) extracted from Human cosmid LUCA14","U73167_cds5_at"
"1595","3678","DLX7 Distal-less homeobox 7","U73328_at"
"1596","3681","SKI V-ski avian sarcoma viral oncogene homolog","U73377_at"
"1597","3682","Cyclin-selective ubiquitin carrier protein mRNA","U73379_at"
"1598","3688","GTBP DNA G/T mismatch-binding protein","U73737_at"
"1599","3689","GB DEF = Dynactin mRNA, partial cds","U73799_at"
"1600","3690","P97 mRNA","U73824_at"
"1601","3692","ADP-ribosylation factor-like protein 4 mRNA","U73960_at"
"1602","3694","Tat interactive protein mRNA","U74667_at"
"1603","3696","Isopeptidase T-3 (ISOT-3) mRNA","U75362_at"
"1604","3697","Mitochondrial RNA polymerase mRNA, nuclear gene encoding mitochondrial protein","U75370_at"
"1605","3698","Histone stem-loop binding protein (SLBP) mRNA","U75679_at"
"1606","3699","CHL1 protein","U75968_at"
"1607","3700","Putative zinc transporter ZnT-3 (ZnT-3) mRNA","U76010_at"
"1608","3702","FHIT Fragile histidine triad gene product","U76272_at"
"1609","3704","DsRNA adenosine deaminase DRADA2b (DRADA2b) mRNA","U76421_at"
"1610","3706","BRCA1-associated RING domain protein (BARD1) mRNA","U76638_at"
"1611","3710","No cluster in current Unigene and no Genbank entry for U77396 (qualifier U77396_at)","U77396_at"
"1612","3711","O-linked GlcNAc transferase mRNA","U77413_at"
"1613","3712","Nucleosome assembly protein 2 mRNA","U77456_at"
"1614","3718","Desmosome associated protein pinin mRNA","U77718_at"
"1615","3719","Pim-2 protooncogene homolog pim-2h mRNA","U77735_at"
"1616","3722","KAI1 Kangai 1 (suppression of tumorigenicity 6, prostate; CD82 antigen (R2 leukocyte antigen, antigen detected by monoclonal and antibody IA4))","U77948_at"
"1617","3724","MOP5 mRNA, partial cds","U77968_at"
"1618","3728","L44L gene (L44-like ribosomal protein) extracted from Human Bruton's tyrosine kinase (BTK), alpha-D-galactosidase A (GLA), L44-like ribosomal protein (L44L) and FTP3 (FTP3) genes","U78027_rna4_at"
"1619","3729","Placental bikunin mRNA","U78095_at"
"1620","3732","GTP cyclohydrolase I feedback regulatory protein gene","U78190_rna1_at"
"1621","3734","Immunophilin homolog ARA9 mRNA","U78521_at"
"1622","3735","Gu binding protein mRNA, partial cds","U78524_at"
"1623","3736","Eukaryotic translation initiation factor (eIF3) mRNA","U78525_at"
"1624","3738","Cisplatin resistance associated alpha protein (hCRA alpha) mRNA","U78556_at"
"1625","3739","68 kDa type I phosphatidylinositol-4-phosphate 5-kinase alpha mRNA, clone PIP5KIa1","U78575_at"
"1626","3745","TNF receptor associated factor 6 (TRAF6) mRNA","U78798_at"
"1627","3754","OPCML Opioid-binding cell adhesion molecule","U79251_at"
"1628","3755","Clone 23679 mRNA","U79252_at"
"1629","3757","Clone 23693 mRNA sequence","U79254_at"
"1630","3758","X11 protein mRNA, partial cds","U79255_at"
"1631","3762","Clone 23945 mRNA","U79259_at"
"1632","3763","Clone 23745 mRNA","U79260_at"
"1633","3764","DHPS Deoxyhypusine synthase","U79262_at"
"1634","3766","Clone 23614 mRNA sequence","U79265_at"
"1635","3767","Clone 23627 mRNA","U79266_at"
"1636","3769","Clone 23707 mRNA, partial cds","U79270_at"
"1637","3772","Clone 23933 mRNA sequence","U79273_at"
"1638","3773","Clone 23733 mRNA","U79274_at"
"1639","3774","Clone 23947 mRNA, partial cds","U79275_at"
"1640","3778","GLYCYLPEPTIDE N-TETRADECANOYLTRANSFERASE","U79285_at"
"1641","3780","Clone 23867 mRNA sequence","U79287_at"
"1642","3784","Clone 23721 mRNA sequence","U79291_at"
"1643","3795","Clone 23882 mRNA","U79303_at"
"1644","3799","Endonuclease III homolog mRNA","U79718_at"
"1645","3800","A33 antigen precursor mRNA","U79725_at"
"1646","3805","Smn gene (survival motor neuron protein SMN) extracted from Human basic transcription factor 2 p44 (btf2p44) gene, partial cds, neuronal apoptosis inhibitory protein (naip) and survival motor neuron protein (smn) genes","U80017_rna3_at"
"1647","3808","GB DEF = Tip associating protein (TAP) mRNA","U80073_at"
"1648","3811","Transcription factor SIM2 long form mRNA","U80457_at"
"1649","3815","SNRPN mRNA, 3' UTR, partial sequence","U81001_at"
"1650","3816","P76 mRNA","U81006_at"
"1651","3818","Placental equilibrative nucleoside transporter 1 (hENT1) mRNA","U81375_at"
"1652","3820","CaM kinase II isoform mRNA","U81554_at"
"1653","3821","Hypothetical protein A4 mRNA","U81556_at"
"1654","3822","Homeodomain protein HOXB13 mRNA","U81599_at"
"1655","3823","Paired-like homeodomain protein PRX-2 mRNA, partial cds","U81600_at"
"1656","3824","GRAVIN","U81607_at"
"1657","3826","Phosphatidylinositol 4-kinase","U81802_at"
"1658","3828","Heme A: farnesyltransferase (COX10) gene promoter region and","U82010_rna1_at"
"1659","3830","Frizzled homolog (FZD3) mRNA","U82169_at"
"1660","3832","Immunoglobulin-like transcript 1 mRNA","U82275_at"
"1661","3833","GB DEF = Unknown protein mRNA, partial cds","U82303_at"
"1662","3836","GB DEF = Unknown protein mRNA, partial cds","U82311_at"
"1663","3844","DNA-binding protein ABP/ZF mRNA","U82613_at"
"1664","3846","HSP1-A gene extracted from Homo sapiens cosmids Qc14E2, Qc12H12, Qc11F9, Qc10G9, LA1733 and Qc17B8 from Xq28, complete sequence","U82671_cds2_at"
"1665","3847","GB DEF = Homeodomain protein HoxA9 mRNA","U82759_at"
"1666","3851","Non-lens beta gamma-crystallin like protein (AIM1) mRNA, partial cds","U83115_at"
"1667","3852","Post-synaptic density protein 95 (PSD95) mRNA","U83192_at"
"1668","3853","Copine I mRNA","U83246_at"
"1669","3854","GCP-2 gene (granulocyte chemotactic protein-2) extracted from Human line-1 reverse transcriptase gene, partial cds, and granulocyte chemotactic protein-2 (GCP-2) gene","U83303_cds2_at"
"1670","3858","Scaffold protein Pbp1 mRNA","U83463_at"
"1671","3861","GB DEF = HIV-1 Nef interacting protein (Nip7-1) mRNA, partial cds","U83843_at"
"1672","3866","YF5 mRNA","U84569_at"
"1673","3868","mRNA export protein Rae1 (RAE1) mRNA","U84720_at"
"1674","3870","Phosphatidylinositol-4-phosphate 5-kinase type II beta mRNA","U85245_at"
"1675","3874","Snk interacting protein 2-28 mRNA","U85611_at"
"1676","3877","Myeloid progenitor inhibitory factor-1 MPIF-1 mRNA","U85767_at"
"1677","3880","Clone IMAGE:35527 unknown protein mRNA, partial cds","U85992_at"
"1678","3885","GB DEF = Hyaluronan synthase 3 (HAS3) gene, partial cds","U86409_at"
"1679","3887","Nucleolar protein p40 mRNA","U86602_at"
"1680","3892","Clone IMAGE:30008 unknown protein mRNA, partial cds","U87408_at"
"1681","3896","GB DEF = NAD+-isocitrate dehydrogenase mRNA, partial cds","U87972_at"
"1682","3897","DNA binding protein homolog (DRIL) mRNA, partial cds","U88047_at"
"1683","3900","ATP binding cassette transporter (ABCR) mRNA","U88667_at"
"1684","3904","HEM45 mRNA","U88964_at"
"1685","3906","Polyhomeotic 2 homolog (HPH2) mRNA","U89278_at"
"1686","3909","Unknown gene extracted from Human HLA class III region containing NOTCH4 gene, partial sequence, homeobox PBX2 (HPBX) gene, receptor for advanced glycosylation end products (RAGE) gene, and 6 unidentified cds, complete sequence","U89336_cds1_at"
"1687","3910","RAGE gene (receptor for advanced glycosylation end products) extracted from Human HLA class III region containing NOTCH4 gene, partial sequence, homeobox PBX2 (HPBX) gene, receptor for advanced glycosylation end products (RAGE) gene, and 6 unidentified cds, complete sequence","U89336_cds3_at"
"1688","3911","Unknown gene extracted from Human HLA class III region containing NOTCH4 gene, partial sequence, homeobox PBX2 (HPBX) gene, receptor for advanced glycosylation end products (RAGE) gene, and 6 unidentified cds, complete sequence","U89336_cds4_at"
"1689","3912","Unknown gene extracted from Human HLA class III region containing NOTCH4 gene, partial sequence, homeobox PBX2 (HPBX) gene, receptor for advanced glycosylation end products (RAGE) gene, and 6 unidentified cds, complete sequence","U89336_cds6_at"
"1690","3915","Clone cRT16 CREB-binding protein mRNA, partial cds","U89355_at"
"1691","3916","Hlark mRNA","U89505_at"
"1692","3919","Casein kinase I gamma 2 mRNA","U89896_at"
"1693","3925","GB DEF = Iroquois-class homeodomain protein IRX-4 mRNA, partial cds","U90306_at"
"1694","3928","Nuclear RNA helicase","U90426_at"
"1695","3931","Ro/SSA ribonucleoprotein homolog (RoRet) mRNA","U90547_at"
"1696","3932","Non-histone chromosomal protein (NHC) mRNA","U90549_at"
"1697","3933","Butyrophilin (BTF2) mRNA","U90550_at"
"1698","3934","Histone 2A-like protein (H2A/l) mRNA","U90551_at"
"1699","3935","Embryonic ectoderm development protein homolog (eed) mRNA, partial cds","U90651_at"
"1700","3937","LIM domain protein CLP-36 mRNA","U90878_at"
"1701","3939","Clone 23773 mRNA sequence","U90904_at"
"1702","3941","Clone 23907 mRNA sequence","U90907_at"
"1703","3943","Clone 23722 mRNA sequence","U90909_at"
"1704","3945","Clone 23652 mRNA sequence","U90911_at"
"1705","3950","Clone 23815 mRNA sequence","U90916_at"
"1706","3951","Clone 23654 mRNA sequence","U90918_at"
"1707","3953","Acyl-CoA thioester hydrolase mRNA","U91316_at"
"1708","3954","GB DEF = Chromosome 12p15 BAC clone CIT987SK-99D8 complete sequence","U91327_at"
"1709","3959","AP-3 complex delta subunit mRNA","U91930_at"
"1710","3960","AP-3 complex beta3A subunit mRNA","U91931_at"
"1711","3961","Clathrin coat assembly protein-like","U91932_at"
"1712","3962","DNA fragmentation factor-45 mRNA","U91985_at"
"1713","3963","Clone 121711 defective mariner transposon Hsmar2 mRNA sequence","U92014_at"
"1714","3965","Mutated in multiple advanced cancers protein (MMAC1) mRNA","U92436_at"
"1715","3968","Protease-activated receptor 3 (PAR3) mRNA","U92971_at"
"1716","3969","GB DEF = SLP-76 associated protein mRNA","U93049_at"
"1717","3971","Nuclear chloride ion channel protein (NCC27) mRNA","U93205_at"
"1718","3972","MEN1 gene (menin) extracted from Human menin (MEN1) gene","U93237_rna2_at"
"1719","3975","Autoantigen DFS70 mRNA, partial cds","U94319_at"
"1720","3980","NADH:ubiquinone oxidoreductase MLRQ subunit mRNA","U94586_at"
"1721","3981","Uncoupling protein homolog (UCPH) mRNA","U94592_at"
"1722","3983","Multispanning membrane protein mRNA","U94831_at"
"1723","3984","Translation initiation factor 3 47 kDa subunit mRNA","U94855_at"
"1724","3985","D9 splice variant A mRNA","U95006_at"
"1725","3987","Unknown protein mRNA, partial cds","U95040_at"
"1726","3990","362G6.1 gene (unknown protein CIT987SK_362G6_1) extracted from Human chromosome 16p13.1 BAC clone CIT987SK-362G6 complete sequence","U95740_rna1_at"
"1727","3991","362G6.2 gene extracted from Human chromosome 16p13.1 BAC clone CIT987SK-362G6 complete sequence","U95740_rna2_at"
"1728","3992","Sarcolipin (SLN) mRNA","U96094_at"
"1729","3993","GB DEF = Nedd-4-like ubiquitin-protein ligase WWP1 mRNA, partial cds","U96113_at"
"1730","3998","2A8.3 gene (hereditary multiple exostoses gene isolog) extracted from Human chromosome 8 BAC clone CIT987SK-2A8 complete sequence","U96629_rna2_at"
"1731","4001","Sin3 associated polypeptide p18 (SAP18) mRNA","U96915_at"
"1732","4004","Dihydropyrimidinase related protein-2","U97105_at"
"1733","4008","GB DEF = Immunoglobulin mu, part of exon 8","V00563_at"
"1734","4010","PGK1 Phosphoglycerate kinase 1","V00572_at"
"1735","4012","Cellular oncogene c-fos (complete sequence)","V01512_rna1_at"
"1736","4017","HLA CLASS II HISTOCOMPATIBILITY ANTIGEN, DR ALPHA CHAIN PRECURSOR","X00274_at"
"1737","4024","TFRC Transferrin receptor (p90, CD71)","X01060_at"
"1738","4025","APOC3 Apolipoprotein C-III","X01388_at"
"1739","4026","ASS Argininosuccinate synthetase","X01630_at"
"1740","4027","GB DEF = Gene fragment for the acetylcholine receptor gamma subunit precursor (exons 1 and 2)","X01715_at"
"1741","4028","LDHA Lactate dehydrogenase A","X02152_at"
"1742","4030","SOD1 Superoxide dismutase 1 (Cu/Zn)","X02317_at"
"1743","4032","INP10 Interferon (gamma)-induced cell line; protein 10 from","X02530_at"
"1744","4034","GB DEF = Bcr (breakpoint cluster region) gene in Philadelphia chromosome","X02596_at"
"1745","4038","OIAS (2'-5') oligoadenylate synthetase","X02874_at"
"1746","4039","TNF Tumor necrosis factor","X02910_at"
"1747","4041","GB DEF = Int-1 mammary oncogene","X03072_at"
"1748","4042","HLA-SB alpha gene (class II antigen) extracted from Human HLA-SB(DP) alpha gene","X03100_cds2_at"
"1749","4045","HISTONE H1'","X03473_at"
"1750","4046","RAF1 V-raf-1 murine leukemia viral oncogene homolog 1","X03484_at"
"1751","4048","G-CSF protein gene extracted from Human gene for granulocyte colony-stimulating factor (G-CSF)","X03656_rna1_at"
"1752","4050","GB DEF = T-cell antigen receptor gene T3-delta","X03934_at"
"1753","4051","CYBB Chronic granulomatous disease","X04011_at"
"1754","4052","Catalase (EC 1.11.1.6) 5'flank and exon 1 mapping to chromosome 11, band p13 (and joined CDS)","X04085_rna1_at"
"1755","4053","CAPN4 Calpain, small polypeptide","X04106_at"
"1756","4055","CD3G CD3G antigen, gamma polypeptide (TiT3 complex)","X04145_at"
"1757","4056","Skeletal muscle 1.3 kb mRNA for tropomyosin","X04201_at"
"1758","4059","BPGM 2,3-bisphosphoglycerate mutase","X04327_at"
"1759","4060","CALPAIN 1, LARGE","X04366_at"
"1760","4061","CD5 CD5 antigen (p56-62)","X04391_at"
"1761","4062","GSN Gelsolin (amyloidosis, Finnish type)","X04412_at"
"1762","4064","IL1B Interleukin 1, beta","X04500_at"
"1763","4069","GNAI2 Guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2","X04828_at"
"1764","4072","Aldolase C gene","X05196_at"
"1765","4075","TPM4 Tropomyosin 4 (fibroblast)","X05276_at"
"1766","4077","OX-2 MEMBRANE GLYCOPROTEIN PRECURSOR","X05323_at"
"1767","4079","ALDH2 Aldehyde dehydrogenase 2, mitochondrial","X05409_at"
"1768","4082","ANX1 Annexin I (lipocortin I)","X05908_at"
"1769","4084","ITGA5 Integrin, alpha 5 (fibronectin receptor, alpha polypeptide)","X06256_at"
"1770","4087","MITOCHONDRIAL 60S RIBOSOMAL PROTEIN L3","X06323_at"
"1771","4089","GB DEF = Theta 1-globin gene","X06482_at"
"1772","4091","Receptor of retinoic acid","X06614_at"
"1773","4094","DNA polymerase alpha-subunit","X06745_at"
"1774","4096","HMOX1 Heme oxygenase (decycling) 1","X06985_at"
"1775","4098","(clones lambda-hPKC-beta[15,802]) protein kinase C-beta-1 (PRKCB1) mRNA","X07109_at"
"1776","4100","ZINC FINGER PROTEIN HF.12","X07290_at"
"1777","4101","NUCLEAR TRANSPORT FACTOR 2","X07315_at"
"1778","4107","PLECKSTRIN","X07743_at"
"1779","4108","PRKACA Protein kinase, cAMP-dependent, catalytic, alpha","X07767_at"
"1780","4110","SOD2 Superoxide dismutase 2, mitochondrial","X07834_at"
"1781","4113","ITGB1 Integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","X07979_at"
"1782","4115","PROTEIN PHPS1-2","X12433_at"
"1783","4116","ALDOA Aldolase A","X12447_at"
"1784","4117","CTSL Cathepsin L","X12451_at"
"1785","4120","CCAAT BOX-BINDING TRANSCRIPTION FACTOR 1","X12492_at"
"1786","4124","SRP19 Signal recognition particle 19 kD protein","X12791_at"
"1787","4128","COX6C Cytochrome c oxidase subunit VIc","X13238_at"
"1788","4130","MYBL2 V-myb avian myeloblastosis viral oncogene homolog-like 2","X13293_at"
"1789","4131","CD14 CD14 antigen","X13334_at"
"1790","4132","T-CELL SURFACE GLYCOPROTEIN CD8 BETA.3 CHAIN PRECURSOR","X13444_at"
"1791","4133","U2 SMALL NUCLEAR RIBONUCLEOPROTEIN A'","X13482_at"
"1792","4134","Put. HMG-17 protein gene extracted from Human HMG-17 gene for non-histone chromosomal protein HMG-17","X13546_rna1_at"
"1793","4136","Lactate dehydrogenase B gene exon 1 and 2 (EC 1.1.1.27) (and joined CDS)","X13794_rna1_at"
"1794","4137","LCAT Lecithin-cholesterol acyltransferase","X13839_at"
"1795","4139","9 KD PROTEIN","X13956_at"
"1796","4140","LIF Leukemia inhibitory factor (cholinergic differentiation factor)","X13967_at"
"1797","4141","RNH Ribonuclease/angiogenin inhibitor","X13973_at"
"1798","4142","CD37 CD37 antigen","X14046_at"
"1799","4143","ACBP Arginine carboxypeptidase (carboxypeptidase N)","X14329_at"
"1800","4147","ALPHA-GALACTOSIDASE A PRECURSOR","X14448_at"
"1801","4148","GB DEF = Bcr-abl mRNA 5' fragment (clone 3c)","X14675_at"
"1802","4149","THBS1 Thrombospondin 1","X14787_at"
"1803","4150","CRYAA Crystallin alpha-A","X14789_at"
"1804","4151","ACAA Acetyl-Coenzyme A acyltransferase (peroxisomal 3-oxoacyl-Coenzyme A thiolase)","X14813_at"
"1805","4153","HISTONE H2A.X","X14850_at"
"1806","4156","GB DEF = CD1 R2 gene for MHC-related antigen","X14975_at"
"1807","4158","60S RIBOSOMAL PROTEIN L13","X15183_at"
"1808","4159","TRA1 Homologue of mouse tumor rejection antigen gp96","X15187_at"
"1809","4164","GB DEF = Natriuretic peptide receptor (ANP-A receptor)","X15357_at"
"1810","4166","Motilin gene exon 2 (and joined CDS)","X15393_rna1_at"
"1811","4167","ALDR1 Aldehyde reductase 1 (low Km aldose reductase)","X15414_at"
"1812","4169","PFKL Phosphofructokinase (liver type)","X15573_at"
"1813","4171","COX7A2 Cytochrome c oxidase VIIa subunit (liver specific)","X15822_at"
"1814","4172","CREB1 CAMP responsive element binding protein 1","X15875_at"
"1815","4173","COL6A1 Collagen, type VI, alpha 1","X15880_at"
"1816","4174","COL6A2 Collagen, type VI, alpha 2","X15882_at"
"1817","4177","IRF2 Interferon regulatory factor 2","X15949_at"
"1818","4181","GB DEF = VAV oncogene","X16316_at"
"1819","4183","MTHFD NAD-dependent methylene tetrahydrofolate dehydrogenase cyclohydrolase","X16396_at"
"1820","4184","ABL1 V-abl Abelson murine leukemia viral oncogene homolog 1","X16416_at"
"1821","4185","COX7C Cytochrome c oxidase VIIc subunit","X16560_at"
"1822","4187","HEMATOPOIETIC LINEAGE CELL SPECIFIC PROTEIN","X16663_at"
"1823","4188","HOXB2 Homeo box B2","X16665_at"
"1824","4189","HOXB3 Homeo box B3","X16667_at"
"1825","4190","FOS-RELATED ANTIGEN 2","X16706_at"
"1826","4192","CTSH Cathepsin H","X16832_at"
"1827","4194","ITGA4 Integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)","X16983_at"
"1828","4195","Homolog of yeast IPP isomerase","X17025_at"
"1829","4196","PRG1 Proteoglycan 1, secretory granule","X17042_at"
"1830","4197","PACE Paired basic amino acid cleaving enzyme (furin, membrane associated receptor protein)","X17094_at"
"1831","4200","GATA1 Transcription factor Eryf1","X17254_at"
"1832","4202","NME1 Non-metastatic cells 1, protein (NM23A) expressed in","X17620_at"
"1833","4205","MYOG Myogenin (myogenic factor 4)","X17651_at"
"1834","4211","VIL2 Villin 2 (ezrin)","X51521_at"
"1835","4216","HSPA6 Heat shock 70kD protein 6 (HSP70B')","X51757_at"
"1836","4222","ENO2 gene for neuron specific (gamma) enolase","X51956_rna1_at"
"1837","4229","SPI1 Spleen focus forming virus (SFFV) proviral integration oncogene spi1","X52056_at"
"1838","4231","ARSA Arylsulfatase A","X52151_at"
"1839","4232","FES Feline sarcoma (Snyder-Theilen) viral (v-fes)/Fujinami avian sarcoma (PRCII) viral (v-fps) oncogene homolog","X52192_at"
"1840","4234","IL4R Interleukin 4 receptor","X52425_at"
"1841","4235","PRKCA Protein kinase C, alpha","X52479_at"
"1842","4237","EGR1 Early growth response protein 1","X52541_at"
"1843","4239","PFKFB1 6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1","X52638_at"
"1844","4241","RXRA Retinoid X receptor, alpha","X52773_at"
"1845","4243","T-COMPLEX PROTEIN 1, ALPHA SUBUNIT","X52882_at"
"1846","4244","TRANSCRIPTION FACTOR ATF-A AND ATF-A-DELTA","X52943_at"
"1847","4245","GJA1 Cardiac gap junction protein","X52947_at"
"1848","4247","MGP Matrix protein gla","X53331_at"
"1849","4249","FLN1 Filamin 1 (actin-binding protein-280)","X53416_at"
"1850","4250","Integrin alpha 6 (or alpha E) protein gene extracted from Human mRNA for integrin alpha 6","X53586_rna1_at"
"1851","4254","MULTIFUNCTIONAL PROTEIN ADE2","X53793_at"
"1852","4255","KAI1 Kangai 1 (suppression of tumorigenicity 6, prostate; CD82 antigen (R2 leukocyte antigen, antigen detected by monoclonal and antibody IA4))","X53795_at"
"1853","4256","LTF Lactotransferrin","X53961_at"
"1854","4260","GPC1 Glypican 1","X54232_at"
"1855","4261","Myosin regulatory light chain mRNA","X54304_at"
"1856","4262","MULTIFUNCTIONAL AMINOACYL-TRNA SYNTHETASE","X54326_at"
"1857","4267","NKG2-D TYPE II INTEGRAL MEMBRANE PROTEIN","X54870_at"
"1858","4271","ITPKA Inositol 1,4,5-trisphosphate 3-kinase A","X54938_at"
"1859","4272","CKS1 CDC28 protein kinase 1","X54941_at"
"1860","4273","CKS2 CDC28 protein kinase 2","X54942_at"
"1861","4274","GAA gene extracted from Human lysosomal alpha-glucosidase gene exon 1","X55079_rna1_at"
"1862","4278","Usf mRNA for late upstream transcription factor","X55666_at"
"1863","4279","PRTN3 Proteinase 3 (serine proteinase, neutrophil, Wegener granulomatosis autoantigen)","X55668_at"
"1864","4281","EUKARYOTIC INITIATION FACTOR 4B","X55733_at"
"1865","4282","NT5 5' nucleotidase (CD73)","X55740_at"
